Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Iceland,SC26Q01,3,1.95,0.04,442,11.93,468,10.46,444,12.84
Iceland,SC26Q01,4,0.54,0.04,a  ,a  ,a  ,a  ,a  ,a  
Iceland,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,SC26Q01,1,47.13,3.83,525,5.04,505,4.53,526,5.13
Ireland,SC26Q01,2,46.42,3.54,522,5.41,501,4.66,519,4.75
Ireland,SC26Q01,3,5.85,1.83,525,9.74,503,5.00,523,8.17
Ireland,SC26Q01,4,0.60,0.66,a  ,a  ,a  ,a  ,a  ,a  
Ireland,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,SC26Q01,1,32.18,3.58,497,11.13,481,9.65,482,9.88
Israel,SC26Q01,2,61.65,4.06,484,5.45,463,5.17,470,5.32
Israel,SC26Q01,3,5.14,1.73,424,41.05,407,32.40,396,34.19
Israel,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,SC26Q01,m,1.03,1.04,451,8.70,450,7.68,416,6.36
Italy,SC26Q01,1,9.37,1.29,497,9.60,488,9.41,494,9.28
Italy,SC26Q01,2,62.80,1.89,496,2.77,490,3.09,498,2.74
Italy,SC26Q01,3,24.96,1.74,482,7.30,480,6.01,490,6.23
Italy,SC26Q01,4,1.60,0.45,473,16.65,489,16.06,487,14.79
Italy,SC26Q01,m,1.27,0.45,438,27.83,455,18.84,453,22.87
Japan,SC26Q01,1,23.31,3.26,549,11.05,554,11.63,562,10.34
Japan,SC26Q01,2,73.27,3.30,536,4.50,532,4.46,543,4.54
Japan,SC26Q01,3,3.43,1.46,514,17.60,507,17.57,529,19.75
Japan,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Japan,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Korea,SC26Q01,1,19.82,3.36,564,8.47,586,10.93,567,8.15
Korea,SC26Q01,2,59.50,3.53,536,4.55,554,5.47,537,4.17
Korea,SC26Q01,3,19.23,3.01,512,8.72,523,11.52,513,8.95
Korea,SC26Q01,4,1.44,1.03,465,54.97,509,58.50,489,47.81
Korea,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,SC26Q01,1,28.27,0.08,499,2.33,502,2.09,506,2.45
Luxembourg,SC26Q01,2,68.91,0.08,480,1.75,483,1.28,482,1.53
Luxembourg,SC26Q01,3,2.83,0.00,568,5.98,545,5.47,562,6.02
Luxembourg,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Mexico,SC26Q01,1,37.99,1.84,429,3.22,419,3.07,421,2.65
Mexico,SC26Q01,2,56.35,1.87,422,2.55,411,2.13,413,2.17
Mexico,SC26Q01,3,4.55,0.88,404,8.29,395,6.08,397,7.17
Mexico,SC26Q01,4,0.39,0.17,414,14.31,405,11.38,402,10.85
Mexico,SC26Q01,m,0.71,0.28,407,12.99,390,9.47,385,11.81
Netherlands,SC26Q01,1,28.65,3.84,518,9.09,531,10.00,531,10.47
Netherlands,SC26Q01,2,67.27,3.95,507,6.83,516,6.22,516,5.93
Netherlands,SC26Q01,3,2.50,1.13,518,45.47,542,42.86,539,46.58
Netherlands,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,SC26Q01,m,1.58,1.15,404,28.41,422,38.51,414,51.74
New Zealand,SC26Q01,1,35.59,3.27,516,6.47,509,6.03,524,5.94
New Zealand,SC26Q01,2,58.75,3.49,516,4.34,500,3.80,517,3.67
New Zealand,SC26Q01,3,5.67,1.31,487,13.01,471,9.50,486,11.74
New Zealand,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,SC26Q01,1,42.80,3.22,514,4.44,499,4.20,504,4.27
Norway,SC26Q01,2,54.48,3.21,499,4.41,485,3.71,488,4.31
Norway,SC26Q01,3,1.10,0.81,453,7.86,435,7.50,409,8.21
Norway,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Norway,SC26Q01,m,1.62,0.93,502,14.17,476,11.25,487,7.14
Poland,SC26Q01,1,15.33,3.02,534,7.90,534,7.49,539,6.18
Poland,SC26Q01,2,70.81,4.12,516,3.73,516,4.34,524,3.97
Poland,SC26Q01,3,13.32,2.82,512,9.93,508,9.39,520,8.39
Poland,SC26Q01,4,0.53,0.43,a  ,a  ,a  ,a  ,a  ,a  
Poland,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Portugal,SC26Q01,1,16.46,3.28,502,13.41,502,11.78,499,12.80
Portugal,SC26Q01,2,58.66,4.16,491,4.64,491,4.86,493,4.83
Portugal,SC26Q01,3,22.23,3.16,467,9.65,462,8.68,471,8.58
Portugal,SC26Q01,4,1.07,0.66,492,26.82,493,37.29,511,26.78
Portugal,SC26Q01,m,1.58,1.06,507,27.57,514,25.42,509,19.71
Slovak Republic,SC26Q01,1,33.70,3.59,457,10.88,480,9.71,466,9.24
Slovak Republic,SC26Q01,2,64.24,3.65,465,5.77,482,4.97,473,5.48
Slovak Republic,SC26Q01,3,2.06,1.10,479,25.94,489,37.63,496,36.11
Slovak Republic,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovak Republic,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,SC26Q01,1,12.72,0.35,478,3.18,497,3.42,510,3.19
Slovenia,SC26Q01,2,77.08,0.62,487,1.51,506,1.69,519,1.70
Slovenia,SC26Q01,3,10.20,0.49,462,3.34,493,4.13,507,3.78
Slovenia,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Slovenia,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Spain,SC26Q01,1,13.58,1.74,507,6.62,499,6.28,508,5.46
Spain,SC26Q01,2,61.56,2.69,489,2.63,486,2.61,498,2.41
Spain,SC26Q01,3,22.00,1.96,474,4.39,471,3.96,486,4.23
Spain,SC26Q01,4,1.32,0.58,478,19.45,471,7.94,492,15.78
Spain,SC26Q01,m,1.54,0.55,478,8.50,485,6.61,488,7.69
Sweden,SC26Q01,1,60.86,3.57,492,4.10,486,3.16,493,3.88
Sweden,SC26Q01,2,36.02,3.34,471,5.77,467,4.31,472,5.55
Sweden,SC26Q01,3,3.11,1.32,461,17.67,459,15.99,469,15.71
Sweden,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Sweden,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,SC26Q01,1,42.51,3.15,500,5.36,527,5.96,513,5.45
Switzerland,SC26Q01,2,50.96,3.10,516,4.09,536,4.53,519,3.84
Switzerland,SC26Q01,3,3.73,1.27,531,22.01,544,18.42,526,17.86
Switzerland,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Switzerland,SC26Q01,m,2.80,1.36,510,16.44,507,11.58,501,10.86
Turkey,SC26Q01,1,26.80,3.21,494,11.08,473,12.71,481,10.06
Turkey,SC26Q01,2,61.54,3.89,473,4.64,442,5.11,460,4.42
Turkey,SC26Q01,3,9.22,2.49,442,12.73,414,14.93,429,10.78
Turkey,SC26Q01,4,2.42,1.13,477,23.65,447,37.66,481,32.30
Turkey,SC26Q01,m,0.02,0.02,a  ,a  ,a  ,a  ,a  ,a  
United Kingdom ,SC26Q01,1,30.46,2.89,507,7.25,501,6.81,522,6.83
United Kingdom ,SC26Q01,2,58.57,3.14,500,5.88,495,5.49,517,5.72
United Kingdom ,SC26Q01,3,7.85,1.88,469,9.32,464,8.30,482,10.88
United Kingdom ,SC26Q01,4,1.15,0.73,457,19.97,439,21.54,462,30.47
United Kingdom ,SC26Q01,m,1.97,0.99,586,17.23,575,18.71,580,16.23
United States of America,SC26Q01,1,20.85,3.49,522,11.19,500,9.78,514,9.95
United States of America,SC26Q01,2,58.75,4.24,496,4.07,482,4.05,500,4.05
United States of America,SC26Q01,3,17.38,3.26,477,11.85,462,12.54,473,13.45
United States of America,SC26Q01,4,0.77,0.56,485,37.22,472,55.33,479,45.42
United States of America,SC26Q01,m,2.25,1.16,509,9.45,482,8.77,517,7.14
OECD Total,SC26Q01,1,25.08,1.01,504,2.87,496,2.86,503,2.64
OECD Total,SC26Q01,2,61.22,1.22,495,1.45,487,1.57,498,1.52
OECD Total,SC26Q01,3,11.83,0.97,479,5.11,469,5.60,479,5.78
OECD Total,SC26Q01,4,0.72,0.20,473,14.07,464,19.69,476,15.77
OECD Total,SC26Q01,m,1.15,0.32,498,8.16,481,7.77,501,7.79
OECD Average,SC26Q01,1,31.59,0.51,506,1.35,503,1.34,509,1.28
OECD Average,SC26Q01,2,58.95,0.56,495,0.76,493,0.72,500,0.73
OECD Average,SC26Q01,3,8.05,0.31,481,3.31,476,3.34,485,3.30
OECD Average,SC26Q01,4,0.46,0.16,463,5.56,462,6.69,470,5.89
OECD Average,SC26Q01,m,0.96,0.19,486,5.04,479,4.95,485,5.01
Albania,SC26Q01,1,57.77,4.37,394,3.99,392,2.72,396,2.95
Albania,SC26Q01,2,41.60,4.35,394,5.02,398,3.55,400,4.10
Albania,SC26Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Albania,SC26Q01,m,0.63,0.64,368,5.87,380,9.78,392,10.14
Argentina,SC26Q01,1,36.45,3.22,411,7.21,402,5.91,421,5.67
Argentina,SC26Q01,2,54.88,3.39,393,5.25,383,4.90,402,5.99
Argentina,SC26Q01,3,5.15,1.58,349,14.61,364,12.14,364,13.49
Argentina,SC26Q01,4,0.84,0.74,475,10.94,462,12.65,485,16.76
Argentina,SC26Q01,m,2.68,1.05,311,40.50,329,25.76,319,40.21
Brazil,SC26Q01,1,15.52,2.06,432,7.44,418,7.92,428,7.54
Brazil,SC26Q01,2,59.70,2.98,407,3.53,388,3.25,402,3.57
Brazil,SC26Q01,3,22.60,2.49,405,3.85,384,3.34,398,3.48
Brazil,SC26Q01,4,1.62,0.79,388,16.57,372,9.22,384,12.26
Brazil,SC26Q01,m,0.57,0.21,395,19.94,385,20.85,397,19.22
Bulgaria,SC26Q01,1,56.43,3.63,426,8.17,434,6.22,441,6.85
Bulgaria,SC26Q01,2,43.15,3.60,450,10.44,446,7.02,454,7.94
Bulgaria,SC26Q01,3,0.43,0.44,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Bulgaria,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
China (Shanghai),SC26Q01,1,34.70,3.88,575,6.63,623,8.21,589,6.97
China (Shanghai),SC26Q01,2,60.95,3.87,567,5.06,607,6.14,576,5.35
China (Shanghai),SC26Q01,3,3.68,1.37,550,20.27,600,24.01,565,24.53
China (Shanghai),SC26Q01,4,0.67,0.67,586,4.07,620,2.88,587,3.83
China (Shanghai),SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,SC26Q01,1,25.93,3.52,538,10.10,581,12.87,538,9.01
Chinese Taipei,SC26Q01,2,69.55,3.71,518,4.54,552,5.74,518,4.24
Chinese Taipei,SC26Q01,3,4.52,1.52,523,11.35,558,13.73,526,9.62
Chinese Taipei,SC26Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Chinese Taipei,SC26Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Colombia,SC26Q01,1,46.34,3.95,411,5.66,383,4.49,404,4.69
Colombia,SC26Q01,2,49.83,4.05,396,5.47,371,4.52,394,4.30
Colombia,SC26Q01,3,3.50,1.30,402,13.77,364,11.24,388,17.96
Colombia,SC26Q01,4,0.01,0.01,404,4.91,373,2.18,425,4.24
Colombia,SC26Q01,m,0.32,0.19,334,4.32,330,3.28,351,14.79
Costa Rica,SC26Q01,1,42.51,3.58,447,5.75,416,4.79,435,5.06
Costa Rica,SC26Q01,2,51.83,3.59,439,4.98,403,4.69,430,4.45
Costa Rica,SC26Q01,3,3.78,1.26,402,10.69,366,6.63,377,10.81
