OECD PISA 2012 Data File - Interactive Selection
,
Variable: ,PA02Q02,Parent Age - Mother
Full question:,How old are the child’s parents? - Mother                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Category: ,1,Younger than 36 years
,2,36 – 40 years
,3,41 – 45 years
,4,46 – 50 years
,5,51 years or older

,
 , , , , ,Reading,Reading,Mathematics,Mathematics,Science,Science
Country,Variable,Category,%,%SE,Mean,SE,Mean,SE,Mean,SE
Indonesia,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Liechtenstein,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Liechtenstein,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Liechtenstein,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Liechtenstein,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Liechtenstein,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Liechtenstein,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Lithuania,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Lithuania,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Lithuania,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Lithuania,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Lithuania,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Lithuania,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Macao-China,PA02Q02,1,2.62,0.22,494,7.83,520,8.37,508,7.17
Macao-China,PA02Q02,2,17.65,0.62,502,2.44,528,2.74,511,2.52
Macao-China,PA02Q02,3,36.62,0.64,511,1.85,543,1.92,524,1.79
Macao-China,PA02Q02,4,27.02,0.60,516,2.26,547,2.39,528,2.15
Macao-China,PA02Q02,5,9.41,0.35,519,3.03,551,3.35,530,3.22
Macao-China,PA02Q02,m,6.68,0.35,487,4.74,513,4.87,499,4.12
Malaysia,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Malaysia,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Malaysia,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Malaysia,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Malaysia,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Malaysia,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Massachusetts (USA),PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Massachusetts (USA),PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Massachusetts (USA),PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Massachusetts (USA),PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Massachusetts (USA),PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Massachusetts (USA),PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Montenegro,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Perm (Russian Federation),PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Perm (Russian Federation),PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Perm (Russian Federation),PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Perm (Russian Federation),PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Perm (Russian Federation),PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Perm (Russian Federation),PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Peru,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Peru,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Peru,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Peru,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Peru,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Peru,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Qatar,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Qatar,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Qatar,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Qatar,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Qatar,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Qatar,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Romania,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Romania,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Romania,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Romania,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Romania,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Romania,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Russian Federation,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Russian Federation,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Russian Federation,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Russian Federation,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Russian Federation,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Russian Federation,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Serbia,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Serbia,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Serbia,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Serbia,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Serbia,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Serbia,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Singapore,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Singapore,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Singapore,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Singapore,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Singapore,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Singapore,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Thailand,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Thailand,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Thailand,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Thailand,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Thailand,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Thailand,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Tunisia,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Tunisia,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Tunisia,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Tunisia,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Tunisia,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Tunisia,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Arab Emirates,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Arab Emirates,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Arab Emirates,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Arab Emirates,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Arab Emirates,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
United Arab Emirates,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Uruguay,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Uruguay,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Uruguay,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Uruguay,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Uruguay,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Uruguay,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Vietnam,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Vietnam,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Vietnam,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Vietnam,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Vietnam,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Vietnam,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  

,
a - The category does not apply in the country concerned. Data therefore missing,
c - There are too few observations to provide reliable estimates,
m - Missing or invalid response category (this category is excluded from computations of group percentages in the international report),
OECD Average - (country average) - mean data for all OECD countries - each country contributes equally to the average
OECD Total - (OECD as single entity) - each country contributes in proportion to the number of 15-year-olds enrolled in its schools
,
� OECD. All rights reserved.
,
Data generated from http://pisa2012.acer.edu.au
