OECD PISA 2012 Data File - Interactive Selection
,
Variable: ,PA02Q02,Parent Age - Mother
Full question:,How old are the child’s parents? - Mother                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Category: ,1,Younger than 36 years
,2,36 – 40 years
,3,41 – 45 years
,4,46 – 50 years
,5,51 years or older

,
 , , , , ,Reading,Reading,Mathematics,Mathematics,Science,Science
Country,Variable,Category,%,%SE,Mean,SE,Mean,SE,Mean,SE
Greece,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Greece,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Greece,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Greece,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Hungary,PA02Q02,1,8.58,0.47,452,6.59,439,5.59,455,5.74
Hungary,PA02Q02,2,33.51,0.75,484,3.04,472,3.16,489,2.69
Hungary,PA02Q02,3,32.48,0.75,507,4.10,495,4.45,512,4.12
Hungary,PA02Q02,4,13.55,0.69,505,7.04,496,7.75,513,7.02
Hungary,PA02Q02,5,6.92,0.40,489,5.96,475,6.34,495,5.61
Hungary,PA02Q02,m,4.96,0.37,452,8.10,442,7.43,463,8.08
Iceland,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Iceland,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Ireland,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Israel,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Italy,PA02Q02,1,2.50,0.15,431,6.70,432,6.83,439,7.18
Italy,PA02Q02,2,14.62,0.31,467,3.01,462,3.05,468,2.94
Italy,PA02Q02,3,33.96,0.48,495,2.59,491,2.59,498,2.33
Italy,PA02Q02,4,32.31,0.48,510,2.10,503,2.39,513,2.13
Italy,PA02Q02,5,13.22,0.30,515,2.71,506,3.14,518,2.77
Italy,PA02Q02,m,3.39,0.15,460,4.79,459,5.02,464,5.31
Japan,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Japan,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Japan,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Japan,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Japan,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Japan,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Korea,PA02Q02,1,0.59,0.12,a  ,a  ,a  ,a  ,a  ,a  
Korea,PA02Q02,2,11.27,0.47,515,5.77,527,6.30,517,4.92
Korea,PA02Q02,3,49.95,0.80,543,4.07,563,4.72,543,3.82
Korea,PA02Q02,4,23.25,0.62,543,4.19,562,5.02,545,4.20
Korea,PA02Q02,5,5.41,0.34,534,6.38,548,7.20,537,5.97
Korea,PA02Q02,m,9.53,0.48,515,6.14,529,6.57,523,5.26
Luxembourg,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Luxembourg,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Mexico,PA02Q02,1,18.16,0.38,411,2.09,401,1.88,404,1.72
Mexico,PA02Q02,2,29.59,0.42,425,1.84,414,1.62,416,1.63
Mexico,PA02Q02,3,24.14,0.36,435,1.98,423,1.77,423,1.60
Mexico,PA02Q02,4,13.32,0.30,433,2.67,422,2.45,422,2.37
Mexico,PA02Q02,5,7.34,0.22,421,2.73,411,2.41,413,2.42
Mexico,PA02Q02,m,7.45,0.24,405,3.18,396,2.54,402,2.54
Netherlands,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,PA02Q02,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,PA02Q02,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,PA02Q02,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Netherlands,PA02Q02,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q02,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
New Zealand,PA02Q02,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
