Date,Value,Returns,Mean180,Mean90,Mean30,Mean10,Var180,Var90,Var30,Var10
2003-01-03,30.83,0.0259567387687187,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-06,30.71,-0.00389231268245207,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-07,29.72,-0.0322370563334419,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-08,28.86,-0.0289367429340511,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-09,29.51,0.0225225225225226,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-10,29.82,0.010504913588614,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-13,29.82,0,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-14,30.21,0.0130784708249497,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-15,30.66,0.0148957298907646,NA,NA,NA,NA,NA,NA,NA,NA
2003-01-16,30.87,0.00684931506849318,NA,NA,NA,0.00287415787141177,NA,NA,NA,0.000393368550976813
2003-01-17,31.02,0.00485908649173951,NA,NA,NA,0.000764392643713847,NA,NA,NA,0.000329660029597596
2003-01-20,31.21,0.00612508059316574,NA,NA,NA,0.00176613197127563,NA,NA,NA,0.000329328613374576
2003-01-21,30.9,-0.00993271387375848,NA,NA,NA,0.00399656621724397,NA,NA,NA,0.000210539481148343
2003-01-22,30.89,-0.000323624595469191,NA,NA,NA,0.00685787805110217,NA,NA,NA,8.30050525814212e-05
2003-01-23,30.18,-0.0229847847199741,NA,NA,NA,0.00230714732685249,NA,NA,NA,0.000131684156315408
2003-01-24,30.56,0.0125911199469847,NA,NA,NA,0.00251576796268957,NA,NA,NA,0.000135919878034539
2003-01-27,30.16,-0.013089005235602,NA,NA,NA,0.00120686743912936,NA,NA,NA,0.000160369617181458
2003-01-28,29.83,-0.0109416445623343,NA,NA,NA,-0.00119514409959904,NA,NA,NA,0.000154697926356751
2003-01-29,30.3,0.015755950385518,NA,NA,NA,-0.0011091220501237,NA,NA,NA,0.000157847857527823
2003-01-30,30.58,0.00924092409240916,NA,NA,NA,-0.000869961147732098,NA,NA,NA,0.000162649496906629
2003-01-31,30.71,0.00425114453891441,NA,NA,NA,-0.000930755343014608,NA,NA,NA,0.000161912472157369
2003-02-03,30.29,-0.013676326929339,NA,NA,NA,-0.00291089609526509,NA,NA,NA,0.000170074161081436
2003-02-04,29.98,-0.0102344007923407,NA,NA,NA,-0.0029410647871233,NA,NA,NA,0.000170554016040773
2003-02-05,30.52,0.0180120080053369,NA,NA,NA,-0.0011075015270427,NA,NA,NA,0.000214838540929893
2003-02-06,30.77,0.0081913499344692,NA,NA,NA,0.00201011193840163,NA,NA,NA,0.000160467205529931
2003-02-07,31.25,0.0155996100097498,NA,NA,NA,0.00231096094467814,NA,NA,NA,0.000168446275097453
2003-02-10,31.38,0.00415999999999997,NA,NA,NA,0.00403586146823834,NA,NA,NA,0.000139169293865514
2003-02-11,31.35,-0.000956022944550592,NA,NA,NA,0.00503442363001671,NA,NA,NA,0.000115905067108342
2003-02-12,31.3,-0.00159489633173846,NA,NA,NA,0.00329933895829106,NA,NA,NA,0.000104670795886766
2003-02-13,31.91,0.0194888178913738,NA,NA,0.00210944168728906,0.00432412833818752,NA,NA,0.000217453763654888,0.000128703558274241
2003-02-14,32.33,0.0131620181761203,NA,NA,0.00168295100086912,0.00521521570190811,NA,NA,0.000201867868475005,0.000136499403080314
2003-02-17,31.9,-0.013300340241262,NA,NA,0.00136935008224212,0.00525281437071582,NA,NA,0.000208435630034421,0.000134935102224477
2003-02-18,31.85,-0.00156739811912217,NA,NA,0.00239167202271945,0.00611951463803767,NA,NA,0.000168707342907615,0.00011261841015403
2003-02-19,31.95,0.00313971742543164,NA,NA,0.00346088736803554,0.00463228558004714,NA,NA,0.000133700216858689,9.54327757348842e-05
2003-02-20,31.48,-0.0147104851330203,NA,NA,0.00221978711285078,0.00234210207329819,NA,NA,0.000130963766807198,0.000129769046271943
2003-02-21,31.84,0.01143583227446,NA,NA,0.00225081773571231,0.00192572429976921,NA,NA,0.000131524569590466,0.000119235791581227
2003-02-24,32.44,0.0188442211055276,NA,NA,0.00287895843922989,0.00339414641032197,NA,NA,0.000140436225887415,0.000148089226171695
2003-02-25,32.73,0.00893958076448826,NA,NA,0.00274099543721451,0.00438370678122586,NA,NA,0.000138095883693112,0.000148315400780991
2003-02-26,32.49,-0.00733272227314375,NA,NA,0.0020000470317509,0.00380992418708533,NA,NA,0.000135932852061557,0.00015923081744214
2003-02-27,32.48,-0.000307787011388277,NA,NA,0.00176147696242152,0.00183026369680912,NA,NA,0.000135246756445664,0.000129446070903924
2003-02-28,32.63,0.0046182266009854,NA,NA,0.00175344829939638,0.000975884539295635,NA,NA,0.000135197235753196,0.000115231008695895
2003-03-03,31.63,-0.030646644192461,NA,NA,0.000527724139875488,-0.000758745855824271,NA,NA,0.000169182850688092,0.000200351486843565
2003-03-04,32.12,0.0154916218779639,NA,NA,0.00137520199826623,0.000947156143884337,NA,NA,0.00017238805449723,0.000226386988696266
2003-03-05,32.29,0.00529265255292658,NA,NA,0.00156241123654609,0.00116244965663383,NA,NA,0.000172781467879496,0.000227899488818637
2003-03-06,32.5,0.00650356147414063,NA,NA,0.00254535610968325,0.00328385431734992,NA,NA,0.000151845768487561,0.000198074359848128
2003-03-07,32.79,0.0089230769230769,NA,NA,0.00242308800888632,0.00303257878221162,NA,NA,0.000149752991489098,0.000194153770185699
